Account,Date,TimeOpened,TimeClosed,TradeType,StopType,StopMultiple,PriceOpen,PriceClose,PriceStopTarget,TotalPremium,Qty,Commission,ProfitLoss,Status,ShortPut,LongPut,ShortCall,LongCall,BuyingPower,StopMultipleResult,Slippage,StopTrigger,PutDelta,CallDelta,Template,Strategy,PriceLong,PriceShort,OpenDate,OpenTime,CloseDate,CloseTime,TradeID,ParentTradeID,ContractCount
IB:U14981614,2/3/2026,2:01 PM,2:13 PM,CallSpread,Short,1,1.8,-3.65,3.6,180,1,6.4850,-191.485,Stopped,,,6905,7005,9820,-1.02777777777778,0.10,Double Bid,,0.136572237119077,EMA-V Calls,EMA-VWAP,0.1,1.9,2026-02-03,14:01:01,2026-02-03,14:13:37,15003,0,2
IB:U14981614,2/3/2026,2:10 PM,2:13 PM,CallSpread,Short,1,2,-4.05,4,200,1,6.4850,-211.485,Stopped,,,6900,7000,9800,-1.025,0.10,Double Bid,,0.120405343596336,EMA-V Calls,EMA-VWAP,0.07,2.07,2026-02-03,14:10:01,2026-02-03,14:13:09,15008,0,2
IB:U14981614,2/3/2026,2:19 PM,4:03 PM,CallSpread,Short,1,1.7,0,3.4,170,1,3.1925,166.8075,Expired,,,6920,7020,9830,1,0,Double Bid,,0.115469105826368,EMA-V Calls,EMA-VWAP,0.07,1.77,2026-02-03,14:19:02,2026-02-03,16:03:15,15009,0,2
IB:U14981614,2/3/2026,2:55 PM,2:59 PM,CallSpread,Short,1,1.95,-4.1,3.9,195,1,4.83375,-219.83375,Stopped,,,6905,7000,9305,-1.1025641025641,0.2,Double Bid,,0.132840937191472,EMA-V Calls,EMA-VWAP,0.05,2,2026-02-03,14:55:01,2026-02-03,14:59:06,15018,0,2
IB:U14981614,2/4/2026,10:07 AM,10:11 AM,CallSpread,Short,1,1.75,-3.7,3.5,175,1,5.03375,-200.03375,Stopped,,,6960,7055,9325,-1.11428571428571,0.2,Double Bid,,0.0743177411198945,EMA-V Calls,EMA-VWAP,0.05,1.8,2026-02-04,10:07:02,2026-02-04,10:11:29,15038,0,2
IB:U14981614,2/4/2026,11:10 AM,11:12 AM,CallSpread,Short,1,1.8,-3.7,3.6,180,1,5.03375,-195.03375,Stopped,,,6945,7040,9320,-1.05555555555556,0.1,Double Bid,,0.107108685807997,EMA-V Calls,EMA-VWAP,0.05,1.85,2026-02-04,11:10:11,2026-02-04,11:12:41,15041,0,2
IB:U14981614,2/4/2026,11:20 AM,4:00 PM,CallSpread,Short,1,1.95,0,3.9,195,1,1.74125,193.25875,Expired,,,6945,7040,9305,1,0,Double Bid,,0.0925437998542719,EMA-V Calls,EMA-VWAP,0,1.95,2026-02-04,11:20:08,2026-02-04,16:00:14,15042,0,2
IB:U14981614,2/4/2026,11:37 AM,4:00 PM,CallSpread,Short,1,1.6,0,3.2,160,1,3.1925,156.8075,Expired,,,6945,7035,8840,1,0,Double Bid,,0.100115090722603,EMA-V Calls,EMA-VWAP,0.03,1.63,2026-02-04,11:37:02,2026-02-04,16:00:21,15043,0,2
IB:U14981614,2/4/2026,11:46 AM,4:00 PM,CallSpread,Short,1,1.8,0,3.6,180,1,3.1925,176.8075,Expired,,,6930,7030,9820,1,0,Double Bid,,0.0952962725977892,EMA-V Calls,EMA-VWAP,0.03,1.83,2026-02-04,11:46:02,2026-02-04,16:00:27,15044,0,2
IB:U14981614,2/4/2026,11:55 AM,4:00 PM,CallSpread,Short,1,1.8,0,3.6,180,1,3.1925,176.8075,Expired,,,6930,7025,9320,1,0,Double Bid,,0.0884397916186413,EMA-V Calls,EMA-VWAP,0.05,1.85,2026-02-04,11:55:53,2026-02-04,16:00:49,15049,0,2
